Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.48458E-10,0.000000065,0.000000096,1,0,0
1.94908E-9,0.000107644,0.000000289,0.835696579,0,0
6.60663E-9,0.000250125,0.000000979,0.784828954,0,0
1.27838E-8,0.000501002,0.000001895,0.758849777,0,0
2.29503E-8,0.001001141,0.000003402,0.730986614,0,0
4.017E-8,0.002501941,0.000005954,0.683192861,0,0
6.83709E-8,0.005004183,0.000010135,0.636291522,0,0
1.10161E-7,0.010009791,0.000016329,0.580267724,0,0
2.33705E-7,0.02502336,0.000034642,0.489439762,0,0
4.065E-7,0.050013222,0.000060253,0.410213188,0,0
7.52702E-7,0.10005665,0.000111563,0.322756569,0,0
1.63749E-6,0.200076073,0.000242671,0.233019336,0,0
3.11454E-6,0.300179786,0.000461464,0.188596926,0,0
4.79528E-6,0.400304213,0.000710311,0.163510164,0,0
6.50552E-6,0.500262335,0.000963401,0.145959346,0,0
7.75214E-6,0.600237668,0.0011478,0.132077343,0,0
9.18696E-6,0.700629158,0.001359954,0.12027764,0,0
1.01232E-5,0.750910858,0.001498342,0.115121468,0,0
1.08311E-5,0.800145234,0.001602942,0.110461081,0,0
1.19844E-5,0.900389557,0.001773321,0.10173525,0,0
1.32538E-5,1.000906235,0.001960787,0.093802677,0,0
1.45295E-5,1.100677156,0.002149119,0.086663361,0,0
1.61667E-5,1.200479837,0.002390696,0.080218146,0,0
1.83471E-5,1.301449203,0.002712265,0.074367873,0,0
1.99672E-5,1.400848575,0.002951049,0.069211701,0,0
2.28783E-5,1.500840765,0.003379846,0.064551314,0,0
2.92194E-5,1.751620418,0.004312584,0.054933069,0,0
3.65627E-5,2.002735338,0.005390561,0.047397124,0,0
4.67159E-5,2.250616856,0.006877191,0.041348537,0,0
5.95814E-5,2.501887637,0.008754583,0.036688151,0,0
6.70007E-5,2.751108866,0.009834015,0.032821021,0,0
7.86305E-5,3.005153435,0.011521307,0.029350521,0,0
9.66474E-5,3.257289531,0.014123942,0.026474963,0,0
1.12766E-4,3.51120683,0.01644071,0.024095191,0,0
1.32698E-4,3.763105468,0.019290775,0.02201289,0,0
1.50078E-4,4.00263072,0.021762343,0.020327219,0,0
1.88825E-4,4.266365171,0.027227872,0.018740704,0,0
2.29684E-4,4.500922384,0.032925597,0.017649975,0,0
2.8601E-4,4.758780598,0.040671744,0.016658404,0,0
3.12042E-4,5.030023518,0.044209842,0.015765989,0,0
3.36837E-4,5.256372759,0.047555742,0.015071889,0,0
3.57514E-4,5.534475845,0.050328028,0.014278632,0,0
3.8375E-4,5.758182811,0.053822645,0.013683689,0,0
4.24177E-4,6.042031088,0.059157183,0.012989588,0,0
4.76331E-4,6.270117723,0.065951052,0.012493803,0,0
5.43205E-4,6.523977786,0.074520285,0.011998017,0,0
6.10055E-4,6.760302089,0.082930573,0.011601388,0.011764706,0
7.32732E-4,7.030189417,0.097973369,0.01120476,0.011764706,0
8.6242E-4,7.275811505,0.113348376,0.010907288,0.011764706,0
9.16299E-4,7.546211188,0.119582941,0.010609817,0.011764706,0
1.05714E-3,7.84913714,0.135473759,0.010312345,0.023529412,0
1.5019E-3,8.107401,0.182091848,0.010114031,0.035294118,0
1.64348E-3,8.271749305,0.195894366,0.010014874,0.047058824,0
2.19041E-3,8.658479112,0.245106832,0.009816559,0.047058824,0
2.90512E-3,8.948991589,0.301009244,0.009717402,0.047058824,0
