Nombre,Longitud,Latitud
03byftwqjL-1,-62.03932051635122,-36.49758986617912
09vHdvoNhg-1,-61.978970842715064,-36.45017332850798
0aURHfMU49-1,-62.13616717980181,-36.46808200202584
0bcKSX5ona-1,-61.98339111121187,-36.453026385398196
0bFEZ6vfPw-1,-62.099397995973966,-36.50341059041987
0CfgXxjYc4-1,-62.1440130477726,-36.490395376208355
0CSNcdyQce-1,-62.10158193042895,-36.51469324428433
0hTNYVS08W-1,-62.14275070946511,-36.53488852310393
0J4hLXN9w1-1,-61.97454801444706,-36.44605981221473
0J4hLXN9w1-2,-61.98491023519973,-36.44977135669155
0mudDLs3xA-1,-62.14403149737925,-36.479760828702275
0pO1R5fhZK-1,-62.15397806125753,-36.383695368412646
0pO1R5fhZK-2,-62.14760169674971,-36.3854194306648
0pO1R5fhZK-3,-62.14835432380955,-36.384600813333314
0PuNpfDQWF-1,-62.113245668305225,-36.41137414543654
0QELpjOS2q-1,-62.11114567649771,-36.42122094996995
0To3KBQwpl-1,-62.080519701677844,-36.48676501194446
0To3KBQwpl-2,-62.078152355981295,-36.481515112317624
0To3KBQwpl-3,-62.08718184670698,-36.483856018128016
0To3KBQwpl-4,-62.08430857787298,-36.4842332978283
0To3KBQwpl-5,-62.08506653093415,-36.48447509496477
0ukEuo3s2B-1,-62.15620506359454,-36.51328067620676
0vjfUJRaQz-1,-61.99682621524732,-36.712419170649206
0xSkfEkTRp-1,-62.19424942784416,-36.38149035093344
11M3iFyFzc-1,-62.06464128789579,-36.48331746395913
12aDKbayQQ-1,-62.06207057688432,-36.55239898728738
18IvsToN0X-1,-62.04115681906152,-36.543364276174316
1Ahs2G5tey-1,-62.09432351591918,-36.478747920394525
1AUFlp1AME-1,-62.00521888025512,-36.513947845746074
1AUFlp1AME-2,-62.01797357165935,-36.51171910355865
1BkXyG1NKK-1,-62.12783596155231,-36.422851973469854
1DF3RHxvWA-1,-62.17721900835082,-36.45504616082314
1ET4My0B68-1,-62.0929289283448,-36.57893077626896
1ET4My0B68-2,-62.09989844841737,-36.57294176617198
1etwsm7kNt-1,-62.11159851840553,-36.49226337437302
1frBUsyacC-1,-62.235227693344854,-36.62637057931261
1ibVUFkqHL-1,-62.29961128676712,-36.29705883591576
1iEPoZX9rM-1,-62.04075255234802,-36.484603377467984
1J4hawKEDt-1,-62.10601850630132,-36.417266325498936
1JgaiyBRS2-1,-62.15866081083058,-36.46758815632685
1knH6dFSVO-1,-62.074935430010534,-36.54449989081297
1LkQ81DaLW-1,-62.17398000109464,-36.39962332487482
1LkQ81DaLW-2,-62.17209310283163,-36.402552865931916
1M3RvmhsaY-1,-62.31608496689921,-36.37351438618518
1oOj366MhQ-1,-62.11189150973477,-36.55993379154916
1PoP5AuHTu-1,-62.03950521920614,-36.49755241405158
1TpRDzZC9w-1,-62.24027478528351,-36.62491832501088
1tw3k2gSBU-1,-62.12165974089611,-36.428821447067364
1VmuWytjCs-1,-62.18868014577773,-36.45810924301867
1WOJNkyOUb-1,-62.12570156602152,-36.483702913374565
1yDnC43qNU-1,-62.18270350648757,-36.447308623761586
1yDnC43qNU-2,-62.177431,-36.446095
1YElis7INX-1,-62.17069697934271,-36.31903633121878
20mwgkLGZ0-1,-62.04107575887997,-36.54340719718174
22qYuoD63t-1,-62.15942328920563,-36.53881306188356
26noRZEH6o-1,-62.09119911237916,-36.552115006181815
26VVmjY1j1-1,-62.18161891719069,-36.47075172289163
26VVmjY1j1-2,-62.179958634266754,-36.466014628215056
28JpukMFWv-1,-62.17203306200567,-36.47934753726224
299CUJbbog-1,-62.18439086278518,-36.47117164614437
2a233xPeRY-1,-62.17311084344031,-36.45413910423898
2ar49wkkJ8-1,-62.1421973601818,-36.48176226482269
2bxluZAK7S-1,-62.00320631401431,-36.70746557663648
2ctvBFbR4x-1,-62.32442621459991,-36.37494502475415
2DqKDRO23d-1,-61.98327936861368,-36.45302729603828
2erNbT2JEN-1,-62.04284303538854,-36.546437357493794
2erNbT2JEN-2,-62.04420835529893,-36.54084790470532
2foF6uMN3C-1,-62.091883174727805,-36.53517605724671
2fZO9zfW15-1,-62.31609752031557,-36.373524666446954
2ht4ijVCYs-1,-62.15072270824333,-36.52535733210262
2HvuEOMtuM-1,-62.23610390767546,-36.62678098596445
2jU2wBEDbp-1,-62.06051391947999,-36.5458484524806
2kucMDldOd-1,-62.25213482751914,-36.35991517461721
2KvWe704ZD-1,-62.068197927486416,-36.54823384074832
2LgN2zdap7-1,-62.15625671547024,-36.38924290466338
2P1iK7syeC-1,-62.16686540454063,-36.466625156682646
2WyaWmSPC2-1,-62.00977518885588,-36.642489125133054
2xRfl8apQf-1,-62.185561505361456,-36.466260621695476
2xyRA442gN-1,-61.966235003696156,-36.57491677642518
2xyRA442gN-2,-61.966155475458116,-36.570120227006704
2y1ageGUeu-1,-62.07498298112665,-36.49103623632946
31oXHnp6Xn-1,-62.168516104211136,-36.45791973640139
34IBFcP2va-1,-61.793568255178,-36.65076867618654
35dpEkxpu3-1,-62.144690288767606,-36.406683370452036
36nVuzasB9-1,-62.10385590796971,-36.52349884754071
3AMp3LubfU-1,-62.17115550784328,-36.46333196094487
3bo1R41JYR-1,-62.03959388335007,-36.49757927430573
3ce6NULaPc-1,-62.178146738925655,-36.3470952759292
