Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.04999E-11,0.000000004,0.000000053,0.794182327,0,0
1.18167E-10,0.000000016,0.000000154,0.794082367,0,0
1.36995E-10,0.00000003,0.000000179,0.793982407,0,0
1.67176E-10,0.000000109,0.000000218,0.793482607,0,0
2.5323E-10,0.000000273,0.000000331,0.792682927,0,0
9.53335E-10,0.00000101,0.000001245,0.791483407,0,0
1.45462E-9,0.00000257,0.0000019,0.790183926,0,0
2.27331E-9,0.000010051,0.000002969,0.786185526,0,0
3.83117E-9,0.000025053,0.000005004,0.781287485,0,0
5.94542E-9,0.000050426,0.000007765,0.776189524,0,0
9.44556E-9,0.0001004,0.000012336,0.769492203,0,0
1.50172E-8,0.000250405,0.000019612,0.757297081,0,0
2.78186E-8,0.000501953,0.000036331,0.745101959,0,0
4.3559E-8,0.001001933,0.000056886,0.731107557,0,0
7.67013E-8,0.002506047,0.000100164,0.705717713,0,0
1.31518E-7,0.005012562,0.000171736,0.681327469,0,0
2.23976E-7,0.010001753,0.000292433,0.653038784,0,0
4.85636E-7,0.02503504,0.000633852,0.608256697,0,0
8.32278E-7,0.050060108,0.001085797,0.570371851,0,0
1.53955E-6,0.100096916,0.002006663,0.527289084,0,0
2.82612E-6,0.200087731,0.003677419,0.479908037,0,0
4.0991E-6,0.30004567,0.005325029,0.450919632,0,0
5.24396E-6,0.400089975,0.006802167,0.429428229,0,0
6.22284E-6,0.500070078,0.008061675,0.412035186,0,0
7.22842E-6,0.600290084,0.009352231,0.397141144,0,0
8.106E-6,0.700249971,0.010475753,0.384146341,0,0
8.56432E-6,0.750369743,0.011061508,0.378148741,0,0
8.92467E-6,0.80024335,0.011521575,0.37245102,0,0
9.70037E-6,0.900640847,0.012510453,0.361655338,0,0
1.05385E-5,1.000072487,0.013576718,0.351859256,0,0
1.13522E-5,1.100624144,0.014609697,0.342662935,0,0
1.22105E-5,1.200436306,0.015696894,0.334166333,0,0
1.295E-5,1.301263132,0.016631817,0.326169532,0,0
1.38531E-5,1.400041738,0.017770962,0.318772491,0,0
1.45443E-5,1.500934268,0.018641174,0.31167533,0,0
1.6511E-5,1.750322987,0.021108635,0.295681727,0,0
1.9003E-5,2.001558813,0.024217389,0.281487405,0,0
2.16728E-5,2.250720539,0.027526113,0.269192323,0,0
2.38454E-5,2.500274358,0.030202144,0.258196721,0,0
2.60875E-5,2.75029431,0.032948348,0.24820072,0,0
2.84514E-5,3.002531801,0.035827034,0.238904438,0,0
3.12299E-5,3.251328749,0.039188747,0.230607757,0,0
3.37069E-5,3.500818444,0.04216586,0.222910836,0,0
3.62914E-5,3.752372583,0.045252703,0.215713715,0,0
3.95993E-5,4.002328995,0.049174552,0.209116353,0,0
4.15793E-5,4.253759314,0.051506749,0.202918832,0,0
4.41357E-5,4.501716097,0.054500874,0.197121152,0,0
4.67609E-5,4.750695132,0.057556014,0.191623351,0,0
4.89495E-5,5.003834797,0.060088045,0.18632547,0,0
5.19383E-5,5.252381126,0.063523844,0.181427429,0,0
5.5294E-5,5.504182124,0.067351616,0.176729308,0,0
5.80859E-5,5.753215182,0.070512556,0.172331068,0,0
6.06687E-5,6.003042246,0.073417759,0.168132747,0,0
6.346E-5,6.251177991,0.076537097,0.164134346,0,0
6.75651E-5,6.506305615,0.081086674,0.160235906,0,0
7.07268E-5,6.755631606,0.084560252,0.156637345,0,0
7.34019E-5,7.001326846,0.087478792,0.153238705,0,0
7.65829E-5,7.256988403,0.090925073,0.149840064,0,0
8.06649E-5,7.50719291,0.095309671,0.146641343,0,0
8.44469E-5,7.754694379,0.099334374,0.143642543,0,0
8.82268E-5,8.00579779,0.103321272,0.140743703,0,0
9.20426E-5,8.257709372,0.107310408,0.137944822,0,0
9.69766E-5,8.503243581,0.112416186,0.135345862,0,0
1.02266E-4,8.752208141,0.117824807,0.132846861,0,0
1.07657E-4,9.004590442,0.123270392,0.130447821,0,0
1.13389E-4,9.25945812,0.128987361,0.128148741,0,0
1.20255E-4,9.505313826,0.135737685,0.12604958,0,0
1.27534E-4,9.75542745,0.142780965,0.12405038,0,0
1.3148E-4,10.00178002,0.146550851,0.12215114,0,0
1.36404E-4,10.256391102,0.151209992,0.120251899,0,0
1.41235E-4,10.506187908,0.155731171,0.118452619,0,0
1.45332E-4,10.750532027,0.159527794,0.116753299,0,0
1.5019E-4,11.001875244,0.163985935,0.115053978,0,0
1.5646E-4,11.26291289,0.169670682,0.113354658,0,0
1.61943E-4,11.516174057,0.17457792,0.111755298,0,0
1.66778E-4,11.761455636,0.178858351,0.110255898,0,0
1.72948E-4,12.015744544,0.184256291,0.108756497,0,0
1.81843E-4,12.265019327,0.191913888,0.107357057,0,0
1.8754E-4,12.505841891,0.19674357,0.106057577,0,0
1.90738E-4,12.751404827,0.199429574,0.104758097,0,0
1.9703E-4,13.004325045,0.204661508,0.103458617,0,0
2.01583E-4,13.264196412,0.208405303,0.102159136,0,0
2.06682E-4,13.509525406,0.212556873,0.100959616,0,0
2.11099E-4,13.760056077,0.216116991,0.099760096,0,0
2.17063E-4,14.016894572,0.220874611,0.098560576,0,0
2.21362E-4,14.258684627,0.224267532,0.097461016,0,0
2.25188E-4,14.504673234,0.227262856,0.096361455,0,0
2.31937E-4,14.75655954,0.232491057,0.095261895,0,0
2.35955E-4,15.014004969,0.235569659,0.094162335,0,0
2.39574E-4,15.251428974,0.238321406,0.093162735,0,0
2.48593E-4,15.519229677,0.245094591,0.092063175,0,0
2.54024E-4,15.770996834,0.24911497,0.091063575,0,0
2.57782E-4,16.001527769,0.251872342,0.090163934,0,0
2.63497E-4,16.262868546,0.256026908,0.089164334,0,0
2.6899E-4,16.502406354,0.259976491,0.088264694,0,0
2.72113E-4,16.77291234,0.26220349,0.087265094,0,0
2.78778E-4,17.022174039,0.266911545,0.086365454,0,0
2.84252E-4,17.276234921,0.27073368,0.085465814,0,0
2.89405E-4,17.506332866,0.274295569,0.084666134,0,0
2.937E-4,17.769334738,0.277237279,0.083766493,0,0
2.99661E-4,18.007334611,0.281281735,0.082966813,0,0
3.04885E-4,18.279556764,0.284788901,0.082067173,0,0
3.08394E-4,18.525224529,0.287125246,0.081267493,0,0
3.16181E-4,18.775052116,0.292256225,0.080467813,0,0
3.23387E-4,19.031944531,0.296939148,0.079668133,0,0
3.2869E-4,19.26057015,0.300346006,0.078968413,0,0
3.34095E-4,19.526018385,0.303784966,0.078168733,0,0
3.36863E-4,19.76084317,0.305532317,0.077469012,0,0
3.42991E-4,20.03239608,0.309371325,0.076669332,0,0
3.49456E-4,20.27497539,0.313374912,0.075969612,0,0
3.54283E-4,20.521471775,0.316334646,0.075269892,0,0
3.59464E-4,20.772093843,0.319482178,0.074570172,0,0
3.62682E-4,21.024982977,0.321423052,0.073870452,0,0
3.68189E-4,21.28119809,0.324718784,0.073170732,0,0
3.70999E-4,21.503084913,0.326388276,0.072570972,0,0
3.7749E-4,21.765365995,0.330213268,0.071871251,0,0
3.81782E-4,22.031135908,0.33271869,0.071171531,0,0
3.91074E-4,22.262816645,0.338078848,0.070571771,0,0
3.99049E-4,22.500016397,0.342611098,0.069972011,0,0
4.02719E-4,22.780766095,0.344675599,0.069272291,0,0
4.08188E-4,23.024326229,0.347728948,0.068672531,0,0
4.14515E-4,23.271305659,0.351225926,0.068072771,0,0
4.18281E-4,23.520955901,0.353289514,0.067473011,0,0
4.20968E-4,23.772807006,0.354753572,0.066873251,0,0
4.25175E-4,24.027118741,0.357033194,0.066273491,0,0
4.29271E-4,24.283909993,0.359237152,0.065673731,0,0
4.34268E-4,24.543086066,0.361905353,0.06507397,0,0
4.37028E-4,24.761111746,0.363369596,0.06457417,0,0
4.41362E-4,25.024489437,0.365655586,0.06397441,0,0
4.46993E-4,25.291606961,0.368601247,0.06337465,0,0
