"ID,C,15","CAMPANA,C,25","PRODUCTO,C,25"
03byftwqjL-1,2006-2007,soja
09vHdvoNhg-1,2010-2011,soja
0CSNcdyQce-1,2010-2011,soja
0CfgXxjYc4-1,2006-2007,soja
0J4hLXN9w1-1,2006-2007,soja
0J4hLXN9w1-2,2006-2007,soja
0PuNpfDQWF-1,2006-2007,trigo
0QELpjOS2q-1,2012-2013,soja
0To3KBQwpl-1,2007-2008,soja
0To3KBQwpl-2,2007-2008,soja
0To3KBQwpl-3,2007-2008,soja
0To3KBQwpl-4,2007-2008,soja
0To3KBQwpl-5,2007-2008,soja
0aURHfMU49-1,2005-2006,trigo
0bFEZ6vfPw-1,2006-2007,maiz
0bcKSX5ona-1,2010-2011,soja
0hTNYVS08W-1,2009-2010,soja
0mudDLs3xA-1,2010-2011,soja
0pO1R5fhZK-1,2007-2008,soja
0pO1R5fhZK-2,2007-2008,soja
0pO1R5fhZK-3,2007-2008,soja
0ukEuo3s2B-1,2009-2010,soja
0vjfUJRaQz-1,2007-2008,soja
0xSkfEkTRp-1,2010-2011,soja
11M3iFyFzc-1,2006-2007,soja
12aDKbayQQ-1,2007-2008,maiz
18IvsToN0X-1,2009-2010,soja
1AUFlp1AME-1,2006-2007,maiz
1AUFlp1AME-2,2006-2007,maiz
1Ahs2G5tey-1,2006-2007,soja
1BkXyG1NKK-1,2007-2008,soja
1DF3RHxvWA-1,2009-2010,soja
1ET4My0B68-1,2007-2008,soja
1ET4My0B68-2,2007-2008,soja
1J4hawKEDt-1,2012-2013,soja
1JgaiyBRS2-1,2006-2007,soja
1LkQ81DaLW-1,2007-2008,soja
1LkQ81DaLW-2,2007-2008,soja
1M3RvmhsaY-1,2008-2009,soja
1PoP5AuHTu-1,2007-2008,soja
1TpRDzZC9w-1,2006-2007,trigo
1VmuWytjCs-1,2006-2007,soja
1WOJNkyOUb-1,2009-2010,maiz
1YElis7INX-1,2007-2008,soja
1etwsm7kNt-1,2010-2011,maiz
1frBUsyacC-1,2007-2008,trigo
1iEPoZX9rM-1,2011-2012,trigo
1ibVUFkqHL-1,2011-2012,girasol
1knH6dFSVO-1,2006-2007,maiz
1oOj366MhQ-1,2006-2007,maiz
1tw3k2gSBU-1,2008-2009,trigo
1yDnC43qNU-1,2006-2007,cebada
1yDnC43qNU-2,2006-2007,cebada
20mwgkLGZ0-1,2009-2010,cebada
22qYuoD63t-1,2007-2008,soja
26VVmjY1j1-1,2007-2008,maiz
26VVmjY1j1-2,2007-2008,maiz
26noRZEH6o-1,2010-2011,soja
28JpukMFWv-1,2007-2008,soja
299CUJbbog-1,2006-2007,soja
2DqKDRO23d-1,2007-2008,maiz
2HvuEOMtuM-1,2006-2007,soja
2KvWe704ZD-1,2008-2009,cebada
2LgN2zdap7-1,2007-2008,soja
2P1iK7syeC-1,2009-2010,soja
2WyaWmSPC2-1,2007-2008,soja
2a233xPeRY-1,2006-2007,trigo
2ar49wkkJ8-1,2006-2007,soja
2bxluZAK7S-1,2007-2008,cebada
2ctvBFbR4x-1,2011-2012,girasol
2erNbT2JEN-1,2006-2007,trigo
2erNbT2JEN-2,2006-2007,trigo
2fZO9zfW15-1,2009-2010,maiz
2foF6uMN3C-1,2007-2008,soja
2ht4ijVCYs-1,2006-2007,soja
2jU2wBEDbp-1,2009-2010,trigo
2kucMDldOd-1,2006-2007,soja
2xRfl8apQf-1,2006-2007,maiz
2xyRA442gN-1,2010-2011,soja
2xyRA442gN-2,2010-2011,soja
2y1ageGUeu-1,2006-2007,cebada
31oXHnp6Xn-1,2007-2008,soja
34IBFcP2va-1,2011-2012,cebada
35dpEkxpu3-1,2008-2009,soja
36nVuzasB9-1,2007-2008,soja
3AMp3LubfU-1,2009-2010,soja
3Grwc5uTlO-1,2008-2009,soja
3GwWcSnMwj-1,2007-2008,soja
3I3uhDlQqF-1,2006-2007,soja
3I3uhDlQqF-2,2006-2007,soja
3I3uhDlQqF-3,2006-2007,soja
3Kjd31lTmn-1,2006-2007,soja
3PG8cmDLMJ-1,2007-2008,cebada
3PG8cmDLMJ-2,2007-2008,cebada
3PjJsQWA9G-1,2006-2007,soja
3WQZjGwmqT-1,2006-2007,trigo
3WRaiX8JES-1,2006-2007,soja
3ZL9ax8JQQ-1,2007-2008,maiz
3bo1R41JYR-1,2010-2011,soja
3ce6NULaPc-1,2008-2009,cebada
3hA8bmoDfb-1,2007-2008,soja
3hA8bmoDfb-2,2007-2008,soja
3hA8bmoDfb-3,2007-2008,soja
3hA8bmoDfb-4,2007-2008,soja
