Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.4068E-14,0.000000001,0,0.553356539,0,0
1.09807E-13,0.000000003,0,0.532371954,0,0
4.54568E-13,0.00000001,0,0.501442069,0,0
1.1449E-12,0.000000025,0,0.481949279,0,0
4.00174E-12,0.0000001,0.000000001,0.44992541,0,0
9.78219E-12,0.000000251,0.000000002,0.426553953,0,0
4.31967E-11,0.000001005,0.000000008,0.391546494,0,0
1.02242E-10,0.000002501,0.000000019,0.370164097,0,0
4.14596E-10,0.00001004,0.000000078,0.336151169,0,0
1.18562E-9,0.000025069,0.000000222,0.315564396,0,0
2.18041E-9,0.000050167,0.000000408,0.300348086,0,0
4.05319E-9,0.000100203,0.000000759,0.284037792,0,0
9.62274E-9,0.000250063,0.000001802,0.260964694,0,0
1.97616E-8,0.000501688,0.000003701,0.243162606,0,0
4.12327E-8,0.001001516,0.000007723,0.2264545,0,0
9.16538E-8,0.002504468,0.000017167,0.20298359,0,0
1.79558E-7,0.005009919,0.000033631,0.183888613,0,0
3.59278E-7,0.010034744,0.00006729,0.164793635,0,0
9.75671E-7,0.025055561,0.000182714,0.140228742,0,0
2.1449E-6,0.050055252,0.000401588,0.12332173,0,0
4.4134E-6,0.10027409,0.000825965,0.107409249,0,0
9.41392E-6,0.200332064,0.001760164,0.092093486,0,0
1.44505E-5,0.300678042,0.002699331,0.083540527,0,0
1.80806E-5,0.400253891,0.003375141,0.077473894,0,0
2.27214E-5,0.502122063,0.004237778,0.072501243,0,0
2.63415E-5,0.601683691,0.00490965,0.06842367,0,0
3.06423E-5,0.701392251,0.005706671,0.064942815,0,0
3.4152E-5,0.75279261,0.006356159,0.063351566,0,0
3.67664E-5,0.80180408,0.006839409,0.061959224,0,0
4.22906E-5,0.901529429,0.007858956,0.059472899,0,0
4.80509E-5,1.001150626,0.00891986,0.057284933,0,0
5.56048E-5,1.102808227,0.010307664,0.055295873,0,0
6.02382E-5,1.201860694,0.011156979,0.053605172,0,0
6.4521E-5,1.301990518,0.011940748,0.052013923,0,0
6.94788E-5,1.402724512,0.012846497,0.050522128,0,0
7.26462E-5,1.502262465,0.013424277,0.049129786,0,0
8.84908E-5,1.752162802,0.016304449,0.046046743,0,0
9.80651E-5,2.005701784,0.018036701,0.043361512,0,0
1.16874E-4,2.250735668,0.02142203,0.041074092,0,0
1.24994E-4,2.505396452,0.02287631,0.038985579,0,0
1.3643E-4,2.755684716,0.024917236,0.037095972,0,0
1.5684E-4,3.004363553,0.028538395,0.035405271,0,0
1.73031E-4,3.252217518,0.031392072,0.033913476,0,0
1.91777E-4,3.506780755,0.03467504,0.032521134,0,0
2.12662E-4,3.769296197,0.038306656,0.031228245,0,0
2.26706E-4,4.010337848,0.040733365,0.030134262,0,0
2.43338E-4,4.270219396,0.043591449,0.029040278,0,0
2.60455E-4,4.523686653,0.046515117,0.028045748,0,0
2.84792E-4,4.772571573,0.050641366,0.027150671,0,0
3.02564E-4,5.007381331,0.053632043,0.026355047,0,0
3.25567E-4,5.260011878,0.057475294,0.025559423,0,0
3.65716E-4,5.506496816,0.064108703,0.024863252,0,0
3.78527E-4,5.768148671,0.066205704,0.024167081,0,0
4.16521E-4,6.00505616,0.072370064,0.023570363,0,0
4.26973E-4,6.258764283,0.074051673,0.022973645,0,0
4.45733E-4,6.51901223,0.07705463,0.022376927,0,0
4.60093E-4,6.79232075,0.079339984,0.021780209,0,0
4.82013E-4,7.029890802,0.082806921,0.021282944,0,0
5.15108E-4,7.280687924,0.087992302,0.020785679,0,0
5.41005E-4,7.544642008,0.092008975,0.020288414,0,0
5.66408E-4,7.767424097,0.095914874,0.019890602,0,0
6.00674E-4,8.059658217,0.101130663,0.019393337,0,0
6.39595E-4,8.308578332,0.106982499,0.018995525,0,0
6.57195E-4,8.504124949,0.109603614,0.018697166,0,0
6.88426E-4,8.774237565,0.11421739,0.018299354,0,0
7.57492E-4,9.059585192,0.124252265,0.017901542,0,0
7.71332E-4,9.289604352,0.126235921,0.017603182,0,0
7.9554E-4,9.525922512,0.129683989,0.017304823,0,0
8.32722E-4,9.771861015,0.134927338,0.017006464,0,0
8.4488E-4,10.023391993,0.136628234,0.016708105,0,0
9.04698E-4,10.287531546,0.144899943,0.016409746,0,0
