Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.6091E-9,0.000000161,0.000000269,1,0,0
1.6091E-9,0.000001126,0.000000269,0.99940688,0,0
2.36305E-9,0.000092747,0.000000395,0.960952946,0,0
9.55232E-9,0.000486678,0.000001598,0.796461052,0,0
1.04194E-8,0.000500889,0.000001743,0.795077106,0,0
2.91765E-8,0.00100076,0.000004881,0.764531435,0,0
6.30994E-8,0.002500339,0.000010555,0.732107552,0,0
8.92901E-8,0.005006557,0.000014936,0.699584816,0,0
1.31039E-7,0.010005308,0.000021919,0.65480427,0,0
2.0772E-7,0.025010363,0.000034745,0.566034006,0,0
3.25036E-7,0.050020351,0.000054368,0.473111902,0,0
6.09876E-7,0.10001994,0.000102007,0.357552392,0,0
1.61655E-6,0.200108774,0.000270338,0.262850929,0,0
2.50784E-6,0.300217555,0.000419326,0.212831159,0,0
3.49502E-6,0.400293716,0.000584292,0.179715302,0,0
4.29584E-6,0.500180764,0.000718075,0.154408857,0,0
5.18364E-6,0.600176318,0.000866348,0.133550811,0,0
6.21536E-6,0.700198867,0.001038603,0.116152629,0,0
6.989E-6,0.750396043,0.001167729,0.108639779,0,0
7.82144E-6,0.800612083,0.001306632,0.101917754,0,0
9.46673E-6,0.900745494,0.001581055,0.090450771,0,0
1.14551E-5,1.001112855,0.001912495,0.080960854,0,0
1.33881E-5,1.100460522,0.002234513,0.07305259,0,0
1.56674E-5,1.201387828,0.002613927,0.066132859,0,0
1.82295E-5,1.300443785,0.003040088,0.060399367,0,0
2.17674E-5,1.40181419,0.003627952,0.055357849,0,0
2.52565E-5,1.500343964,0.004207041,0.05120601,0,0
3.41191E-5,1.750655845,0.005674918,0.042704626,0,0
4.412E-5,2.002603422,0.007326149,0.036180308,0,0
5.54341E-5,2.250159552,0.009187606,0.031336497,0,0
6.83153E-5,2.504843206,0.011298407,0.027283511,0,0
8.18454E-5,2.754528505,0.013505887,0.024021352,0,0
1.26315E-4,3.01219036,0.02069235,0.021451166,0,0
1.57545E-4,3.257831629,0.025676869,0.01977066,0,0
1.75514E-4,3.506423214,0.028522001,0.018287861,0,0
